사용년월	전체일수	작업가능일수	중복일수	공휴일	최고기온	최저기온	강우	풍속	강설	안개	미세먼지	NIS	NOS	FIS	FOS	CIS	COS	NIGT	NOGT	FIGT	FOGT	CIGT	COGT
2023년06월	30	14	2	5	0	0	7	4	0	2	0	510	514	1496	1516	1841	1841	5465026	5173878	51107291	50750587	1680609	1694036
2023년07월	31	3	5	5	1	0	10	7	0	10	0	537	541	1539	1553	1778	1755	5656789	5468212	51534520	51275533	1630475	1592661
2023년08월	31	10	3	5	8	0	6	3	0	2	0	491	490	1456	1476	1645	1691	5444105	5078877	51901227	51457666	1510781	1594785
2023년09월	30	18	2	7	0	0	4	2	0	1	0	504	507	1455	1449	1568	1532	5307164	4922973	52107627	51429000	1460193	1432770
2023년10월	31	23	0	8	0	0	0	0	0	0	0	502	494	1509	1508	1725	1748	5232544	5124847	51451793	51308681	1605795	1660584
2023년11월	30	23	1	4	0	0	2	2	0	0	0	479	486	1446	1444	1794	1800	5815453	5579152	50896896	50096125	1716091	1807975
2023년12월	31	19	2	6	0	0	3	2	0	3	0	451	431	1396	1425	1745	1728	5291834	4662760	50778097	51779974	1667686	1654732
2024년01월	31	24	0	5	0	0	2	0	0	0	0	472	494	1420	1413	1841	1845	5768480	5738637	52145820	51188833	1660944	1724710
2024년02월	29	18	1	7	0	0	4	0	0	1	0	459	452	1250	1245	1528	1536	5406209	5224194	42176026	41427329	1318884	1381102
2024년03월	31	19	1	6	0	0	2	5	0	0	0	498	491	1415	1435	1759	1760	4898711	4521624	50970429	50731716	1551240	1548668
2024년04월	30	23	1	4	0	0	4	0	0	0	0	497	493	1482	1473	1734	1742	5427626	5211427	49132934	48935170	1630570	1704303
2024년05월	31	19	1	6	0	0	3	4	0	0	0	488	494	1460	1465	1761	1763	5881206	5728474	49434768	48642921	1582695	1579719
2024년06월	30	18	2	6	0	0	4	3	0	1	0	475	462	1367	1390	1767	1778	5962430	5671219	47383747	47071668	1510776	1537810
2024년07월	31	10	3	4	0	0	5	8	0	7	0	491	500	1446	1451	1779	1779	5029124	4860216	50580207	49978493	1550806	1655695
2024년08월	31	10	3	5	15	0	2	2	0	0	0	476	467	1433	1450	1666	1705	5386133	4998724	50993081	50901061	1479910	1515167
2024년09월	30	14	3	8	7	0	3	1	0	0	0	433	436	1332	1345	1574	1572	5103561	4948466	47075477	46742613	1476092	1503622
2024년10월	31	20	1	6	0	0	5	1	0	0	0	455	463	1391	1391	1778	1790	5707724	5378733	50745789	50672820	1622131	1730102
2024년11월	30	22	1	4	0	0	3	2	0	0	0	461	454	1308	1312	1671	1683	4824745	4556977	48409088	47890878	1495312	1484014
2024년12월	31	24	0	6	0	0	0	1	0	0	0	466	450	1362	1370	1763	1790	5246386	4524395	49894730	49338795	1617624	1766363
